Tracker,Panel,Tipo de falla,Correlativo Foto,Codigo,Ver. Cod,Si el panel esta correcto,Si la falla esta correcta,Obs Panel,Obs Falla
1351,1351_07_30,BB,233,151401040402290,15,FALSE,FALSE,,
1351,1351_09_06,BB,234,151301040418226,15,FALSE,FALSE,,
1351,1351_09_07,BB,235,151301040417698,15,FALSE,FALSE,,
1351,1351_09_14,BB,236,151301040417741,15,TRUE,FALSE,15,
1351,1351_09_17,BB,237,151301040417768,15,FALSE,FALSE,,
1351,1351_11_37,BB,238,151301040419156,15,TRUE,FALSE,38,
1351,1351_16_15,CC,,,0,FALSE,FALSE,,
1352,1352_03_03,BB,239,151301040410568,15,FALSE,FALSE,,
1352,1352_03_10,BB,240,151401040416883,15,FALSE,FALSE,,
1352,1352_04_31,BB,241,151502040410762,15,TRUE,FALSE,32,
1352,1352_05_17,BB,242,151502040407547,15,TRUE,FALSE,18,
1352,1352_07_28,CC,,,0,FALSE,FALSE,,
1352,1352_08_02,BB,243,151301040411741,15,TRUE,FALSE,1,
1352,1352_08_22,CC,,,0,FALSE,FALSE,,
1352,1352_08_33,BB,244,151301040411742,15,TRUE,FALSE,32,
1352,1352_09_15,BB,245,151401040402261,15,FALSE,FALSE,,
1352,1352_09_31,BB,246,151301040413313,15,FALSE,FALSE,,
1352,1352_11_16,BB,247,151401040412404,15,FALSE,FALSE,,
1352,1352_11_17,BB,248,151401040412413,15,FALSE,FALSE,,
1352,1352_12_13,BB,249,151401040412478,15,TRUE,FALSE,12,
1352,1352_12_39,CC,,,0,FALSE,FALSE,,
1352,1352_13_16,CC,,,0,FALSE,FALSE,,
1352,1352_13_32,CC,,,0,FALSE,FALSE,,
1352,1352_16_01,CC,,,0,FALSE,FALSE,,
1352,1352_16_02,CC,,,0,FALSE,FALSE,,
1352,1352_16_03,BB,250,151301040410501,15,FALSE,FALSE,,
1353,1353_01_26,BB,251,151301040413122,15,FALSE,FALSE,,
1353,1353_09_21,MC,252,0,1,FALSE,FALSE,,
1353,1353_10_28,BB,253,151601040402016,15,TRUE,FALSE,27,
1353,1353_10_37,BB,254,151502040404837,15,FALSE,FALSE,,
1353,1353_11_03,BB,256,151401040420241,15,TRUE,FALSE,2,
1353,1353_11_20,BB,255,151501040404379,15,FALSE,FALSE,,
1353,1353_13_01,BB,257,151501040403855,15,FALSE,FALSE,,
1353,1353_13_03,BB,,,0,FALSE,FALSE,,
1353,1353_13_04,BB,258,151501040400869,15,FALSE,FALSE,,
1353,1353_13_05,BB,,,0,FALSE,FALSE,,
1353,1353_13_28,BB,259,151301040410620,15,FALSE,FALSE,,
1353,1353_14_02,BB,262,151501040400839,15,FALSE,FALSE,,
1353,1353_14_36,BB,,,0,FALSE,FALSE,,
1353,1353_14_37,BB,261,151301040419322,15,FALSE,FALSE,,
1353,1353_14_39,BB,,,0,FALSE,FALSE,,
1353,1353_14_40,BB,260,151301040419678,15,FALSE,FALSE,,
1353,1353_15_20,BB,263,151301040418918,15,FALSE,FALSE,,
1353,1353_15_21,BB,264,151301040415179,15,FALSE,FALSE,,
1353,1353_15_22,BB,265,151301040415203,15,FALSE,FALSE,,
1353,1353_15_24,BB,266,151301040414939,15,TRUE,FALSE,25,
1363,1363_05_15,BB,288,151401040418638,15,FALSE,FALSE,,
1363,1363_05_18,BB,289,151401040420051,15,FALSE,FALSE,,
1363,1363_05_19,BB,,,0,FALSE,FALSE,,
1363,1363_07_16,BB,,,0,FALSE,FALSE,,
1363,1363_07_17,BB,287,151401040419726,15,FALSE,FALSE,,
1363,1363_09_23,BB,286,151301040415074,15,FALSE,FALSE,,
1363,1363_10_38,BB,285,151501040401370,15,FALSE,FALSE,,
1363,1363_14_18,BB,283,151301040416728,15,FALSE,FALSE,,
1363,1363_14_34,BB,284,151301040419574,15,FALSE,FALSE,,
1363,1363_15_15,BB,282,151301040416722,15,TRUE,FALSE,14,
1363,1363_15_16,BB,281,151301040419187,15,FALSE,FALSE,,
1363,1363_16_19,BB,280,151301040419361,15,FALSE,FALSE,,
1363,1363_16_30,BB,279,151401040412309,15,TRUE,FALSE,29,
1363,1363_16_40,BB,278,151401040412543,15,FALSE,FALSE,,
1364,1364_02_23,BB,277,151502040409297,15,FALSE,FALSE,,
1364,1364_03_21,BB,276,151502040402688,15,FALSE,FALSE,,
1364,1364_03_35,BB,275,151502040402692,15,FALSE,FALSE,,
1364,1364_07_09,BB,274,151502040409555,15,TRUE,FALSE,10,
1364,1364_11_40,BB,273,151502040400594,15,FALSE,FALSE,,
1364,1364_13_19,BB,272,151401040400459,15,TRUE,FALSE,20,
1365,1365_01_07,BB,271,151601040402083,15,FALSE,FALSE,,
1365,1365_02_31,BB,270,151301040415114,15,FALSE,FALSE,,
1365,1365_06_27,BB,269,151301040418106,15,FALSE,FALSE,,
1365,1365_15_02,BB,267,151301040410087,15,TRUE,FALSE,3,
1365,1365_15_30,BB,268,151301040414841,15,TRUE,FALSE,31,
1375,1375_06_39,BB,205,151401040418590,15,FALSE,FALSE,,
1375,1375_10_27,BB,206,151501040405667,15,FALSE,FALSE,,
1375,1375_15_34,CC,,,0,FALSE,FALSE,,
1376,1376_02_20,SCA,,,0,FALSE,FALSE,,
1376,1376_03_01,SCA,,,0,FALSE,FALSE,,
1376,1376_03_21,BB,207,151501040406138,15,TRUE,FALSE,22,
1376,1376_03_30,BB,208,151501040406128,15,TRUE,FALSE,31,
1376,1376_05_36,BB,209,151702040400105,15,TRUE,FALSE,37,
1376,1376_07_29,BB,210,151401040416759,15,TRUE,FALSE,28,
1376,1376_08_11,BB,211,151401040401370,15,FALSE,FALSE,,
1376,1376_08_12,BB,,,0,FALSE,FALSE,,
1376,1376_08_15,BB,212,151401040400897,15,FALSE,FALSE,,
1376,1376_08_22,BB,213,151401040401323,15,TRUE,FALSE,21,
1376,1376_08_28,BB,214,151401040401056,15,FALSE,FALSE,,
1376,1376_09_35,BB,215,151501040400281,15,TRUE,FALSE,36,
1377,1377_02_29,BB,216,151401040418360,15,FALSE,FALSE,,
1377,1377_05_21,BB,217,151301040415033,15,TRUE,FALSE,22,
1377,1377_05_27,BB,218,151301040415256,15,TRUE,FALSE,28,
1377,1377_05_39,BB,219,151301040415031,15,TRUE,FALSE,40,
1377,1377_06_02,BB,,,0,FALSE,FALSE,,
1377,1377_06_03,BB,220,151301040413262,15,TRUE,FALSE,4,
1377,1377_07_29,BB,221,151301040410296,15,FALSE,FALSE,,
1377,1377_07_30,CC,,,0,FALSE,FALSE,,
1377,1377_10_14,BB,222,151301040416503,15,TRUE,FALSE,15,
1377,1377_10_29,CC,223,151401040420324,15,FALSE,FALSE,,
1377,1377_13_22,BB,224,151401040417038,15,FALSE,FALSE,,
1377,1377_13_23,BB,225,151401040417305,15,FALSE,FALSE,,
1377,1377_13_27,BB,226,151401040417291,15,FALSE,FALSE,,
1377,1377_13_31,BB,227,151401040417032,15,TRUE,FALSE,32,
1377,1377_13_37,BB,228,151401040417056,15,FALSE,FALSE,,
1377,1377_14_11,BB,229,151401040418605,15,TRUE,FALSE,12,
1377,1377_15_01,BB,230,151401040418852,15,FALSE,FALSE,,
1377,1377_15_11,BB,231,151401040418863,15,FALSE,FALSE,,
1377,1377_15_18,BB,232,151301040416697,15,TRUE,FALSE,19,
1385,1385_02_06,BB,,,0,FALSE,FALSE,,
1385,1385_02_08,BB,204,151601040408522,15,FALSE,FALSE,,
1385,1385_07_32,BB,,,0,FALSE,FALSE,,
1385,1385_07_33,BB,203,151601040402485,15,FALSE,FALSE,,
1385,1385_11_21,BB,202,151501040402399,15,FALSE,FALSE,,
1385,1385_14_34,BB,201,151501040402259,15,FALSE,FALSE,,
1385,1385_14_35,BB,,,0,FALSE,FALSE,,
1385,1385_16_13,BB,200,151501040406781,15,TRUE,FALSE,14,
1386,1386_05_30,BB,199,151501040408459,15,TRUE,FALSE,31,
1386,1386_08_08,BB,198,151601040403968,15,FALSE,FALSE,,
1386,1386_09_09,CC,,,0,FALSE,FALSE,,
1386,1386_13_36,BB,,,0,FALSE,FALSE,,
1386,1386_13_37,BB,197,151502040406460,15,FALSE,FALSE,,
1386,1386_16_34,BB,196,151501040408063,15,FALSE,FALSE,,
1387,1387_01_35,CC,,,0,FALSE,FALSE,,
1387,1387_04_23,BB,195,151501040407343,15,FALSE,FALSE,,
1387,1387_06_08,BB,194,151501040406873,15,FALSE,FALSE,,
1387,1387_07_09,BB,193,151501040405806,15,TRUE,FALSE,10,
1387,1387_07_39,BB,192,151501040405447,15,TRUE,FALSE,40,
1387,1387_11_37,BB,191,151501040405531,15,FALSE,FALSE,,
1387,1387_16_18,BB,190,151502040406388,15,TRUE,FALSE,19,
1387,1387_16_21,BB,,,0,FALSE,FALSE,,
1387,1387_16_22,BB,189,151502040407760,15,FALSE,FALSE,,
1387,1387_16_25,CC,188,151502040407517,15,FALSE,FALSE,,
1388,1388_03_31,BB,187,151501040403882,15,FALSE,FALSE,,
1388,1388_04_03,BB,186,151501040404171,15,FALSE,FALSE,,
1388,1388_04_30,BB,185,151501040405096,15,TRUE,FALSE,29,
1388,1388_06_17,BB,184,151501040403617,15,TRUE,FALSE,18,
1388,1388_07_28,BB,183,151501040402849,15,FALSE,FALSE,,